pred_speed,pred_angle,true_speed,true_angle,speed_rel_error,angle_rel_error,speed_abs_error,angle_abs_error
7.941165924072265625e+01,1.805925369262695312e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.323527693748474121e-01,2.874219324439764023e-03,7.941165924072265625e+01,1.805925369262695312e-02
7.759659576416015625e+01,1.781797409057617188e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.293276548385620117e-01,2.835818566381931305e-03,7.759659576416015625e+01,1.781797409057617188e-02
8.228427124023437500e+01,2.360630035400390625e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.371404528617858887e-01,3.757059341296553612e-03,8.228427124023437500e+01,2.360630035400390625e-02
7.472387695312500000e+01,2.667856216430664062e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.245397925376892090e-01,4.246024880558252335e-03,7.472387695312500000e+01,2.667856216430664062e-02
8.615781402587890625e+01,6.282404422760009766e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.435963511466979980e-01,1.243094448000192642e-04,8.615781402587890625e+01,7.810592651367187500e-04
8.285386657714843750e+01,8.890914916992187500e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.380897760391235352e-01,1.415032986551523209e-02,8.285386657714843750e+01,8.890914916992187500e-02
7.221096801757812500e+01,6.257853031158447266e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.203516125679016113e-01,4.031784832477569580e-03,7.221096801757812500e+01,2.533245086669921875e-02
7.585233306884765625e+01,6.310987472534179688e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.264205574989318848e-01,1.004424784332513809e-02,7.585233306884765625e+01,6.310987472534179688e-02
7.944370269775390625e+01,6.274123668670654297e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.324061751365661621e-01,1.442232402041554451e-03,7.944370269775390625e+01,9.061813354492187500e-03
7.521350097656250000e+01,6.262157440185546875e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.253558397293090820e-01,3.346716752275824547e-03,7.521350097656250000e+01,2.102804183959960938e-02
7.970792388916015625e+01,4.916191101074218750e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.328465342521667480e-01,7.824361324310302734e-03,7.970792388916015625e+01,4.916191101074218750e-02
7.524372100830078125e+01,1.116228103637695312e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.254062056541442871e-01,1.776532153598964214e-03,7.524372100830078125e+01,1.116228103637695312e-02
7.546423339843750000e+01,9.102535247802734375e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.257737278938293457e-01,1.448713429272174835e-02,7.546423339843750000e+01,9.102535247802734375e-02
7.708672332763671875e+01,6.264992713928222656e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.284778714179992676e-01,2.895468845963478088e-03,7.708672332763671875e+01,1.819276809692382812e-02
8.303178405761718750e+01,1.975345611572265625e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.383863091468811035e-01,3.143860027194023132e-03,8.303178405761718750e+01,1.975345611572265625e-02
8.856303405761718750e+01,3.678369522094726562e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.476050615310668945e-01,5.854306742548942566e-03,8.856303405761718750e+01,3.678369522094726562e-02
8.340439605712890625e+01,1.897573471069335938e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.390073299407958984e-01,3.020081855356693268e-02,8.340439605712890625e+01,1.897573471069335938e-01
7.884800720214843750e+01,6.442070007324218750e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.314133405685424805e-01,1.025287248194217682e-02,7.884800720214843750e+01,6.442070007324218750e-02
