pred_speed,pred_angle,true_speed,true_angle,speed_rel_error,angle_rel_error,speed_abs_error,angle_abs_error
3.540669631958007812e+01,6.098051071166992188e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.901116132736206055e-02,2.946505509316921234e-02,3.540669631958007812e+01,1.851344108581542969e-01
2.617406845092773438e+01,5.832461833953857422e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.362344741821289062e-02,7.173489779233932495e-02,2.617406845092773438e+01,4.507236480712890625e-01
2.581053924560546875e+01,6.343798637390136719e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.301756620407104492e-02,1.009646877646446228e-01,2.581053924560546875e+01,6.343798637390136719e-01
1.071271438598632812e+02,6.265058040618896484e+00,1.000000000000000000e+02,0.000000000000000000e+00,1.187857333570718765e-02,2.885071793571114540e-03,7.127143859863281250e+00,1.812744140625000000e-02
1.592882080078125000e+02,7.640218734741210938e-02,1.000000000000000000e+02,0.000000000000000000e+00,9.881368279457092285e-02,1.215978525578975677e-02,5.928820800781250000e+01,7.640218734741210938e-02
1.611429901123046875e+02,6.260965347290039062e+00,1.000000000000000000e+02,0.000000000000000000e+00,1.019049808382987976e-01,3.536444157361984253e-03,6.114299011230468750e+01,2.222013473510742188e-02
1.464610595703125000e+02,2.829885482788085938e-01,1.000000000000000000e+02,0.000000000000000000e+00,7.743509858846664429e-02,4.503902420401573181e-02,4.646105957031250000e+01,2.829885482788085938e-01
1.473997192382812500e+02,1.720662117004394531e-01,1.000000000000000000e+02,0.000000000000000000e+00,7.899953424930572510e-02,2.738518826663494110e-02,4.739971923828125000e+01,1.720662117004394531e-01
1.397994842529296875e+02,1.937232017517089844e-01,1.000000000000000000e+02,0.000000000000000000e+00,6.633247435092926025e-02,3.083200380206108093e-02,3.979948425292968750e+01,1.937232017517089844e-01
1.541621093750000000e+02,1.770653724670410156e-01,1.000000000000000000e+02,0.000000000000000000e+00,9.027018398046493530e-02,2.818082831799983978e-02,5.416210937500000000e+01,1.770653724670410156e-01
1.581017303466796875e+02,3.027539253234863281e-01,1.000000000000000000e+02,0.000000000000000000e+00,9.683621674776077271e-02,4.818478226661682129e-02,5.810173034667968750e+01,3.027539253234863281e-01
1.624989166259765625e+02,1.344199180603027344e-01,1.000000000000000000e+02,0.000000000000000000e+00,1.041648611426353455e-01,2.139359340071678162e-02,6.249891662597656250e+01,1.344199180603027344e-01
1.429524078369140625e+02,3.732519149780273438e-01,1.000000000000000000e+02,0.000000000000000000e+00,7.158734649419784546e-02,5.940488725900650024e-02,4.295240783691406250e+01,3.732519149780273438e-01
1.471613464355468750e+02,3.002257347106933594e-01,1.000000000000000000e+02,0.000000000000000000e+00,7.860224694013595581e-02,4.778240993618965149e-02,4.716134643554687500e+01,3.002257347106933594e-01
1.523849792480468750e+02,3.763427734375000000e-01,1.000000000000000000e+02,0.000000000000000000e+00,8.730829507112503052e-02,5.989681184291839600e-02,5.238497924804687500e+01,3.763427734375000000e-01
1.564895477294921875e+02,3.359651565551757812e-01,1.000000000000000000e+02,0.000000000000000000e+00,9.414924681186676025e-02,5.347051471471786499e-02,5.648954772949218750e+01,3.359651565551757812e-01
1.493989868164062500e+02,3.769860267639160156e-01,1.000000000000000000e+02,0.000000000000000000e+00,8.233164250850677490e-02,5.999918654561042786e-02,4.939898681640625000e+01,3.769860267639160156e-01
1.561984405517578125e+02,3.221797943115234375e-01,1.000000000000000000e+02,0.000000000000000000e+00,9.366406500339508057e-02,5.127650499343872070e-02,5.619844055175781250e+01,3.221797943115234375e-01
1.563178863525390625e+02,1.742553710937500000e-01,1.000000000000000000e+02,0.000000000000000000e+00,9.386314451694488525e-02,2.773360349237918854e-02,5.631788635253906250e+01,1.742553710937500000e-01
1.556785278320312500e+02,3.388090133666992188e-01,1.000000000000000000e+02,0.000000000000000000e+00,9.279754757881164551e-02,5.392312631011009216e-02,5.567852783203125000e+01,3.388090133666992188e-01
1.675710754394531250e+02,2.265686988830566406e-01,1.000000000000000000e+02,0.000000000000000000e+00,1.126184612512588501e-01,3.605952858924865723e-02,6.757107543945312500e+01,2.265686988830566406e-01
1.695474243164062500e+02,2.036113739013671875e-01,1.000000000000000000e+02,0.000000000000000000e+00,1.159123703837394714e-01,3.240575641393661499e-02,6.954742431640625000e+01,2.036113739013671875e-01
1.730023956298828125e+02,6.233256340026855469e+00,1.000000000000000000e+02,0.000000000000000000e+00,1.216706559062004089e-01,7.946469821035861969e-03,7.300239562988281250e+01,4.992914199829101562e-02
1.678058013916015625e+02,1.235051155090332031e-01,1.000000000000000000e+02,0.000000000000000000e+00,1.130096688866615295e-01,1.965644955635070801e-02,6.780580139160156250e+01,1.235051155090332031e-01
1.679244842529296875e+02,6.281851768493652344e+00,1.000000000000000000e+02,0.000000000000000000e+00,1.132074743509292603e-01,2.122670994140207767e-04,6.792448425292968750e+01,1.333713531494140625e-03
1.607449645996093750e+02,1.431975364685058594e-01,1.000000000000000000e+02,0.000000000000000000e+00,1.012416109442710876e-01,2.279059588909149170e-02,6.074496459960937500e+01,1.431975364685058594e-01
1.679543304443359375e+02,1.498918533325195312e-01,1.000000000000000000e+02,0.000000000000000000e+00,1.132572144269943237e-01,2.385602891445159912e-02,6.795433044433593750e+01,1.498918533325195312e-01
1.533462524414062500e+02,2.202920913696289062e-01,1.000000000000000000e+02,0.000000000000000000e+00,8.891042321920394897e-02,3.506057336926460266e-02,5.334625244140625000e+01,2.202920913696289062e-01
